url,title,Location,Description,Company
https://climatebase.org/job/46609142/fpa-analyst?source=jobs_directory,FP&A Analyst,New York - Hybrid,"Problem Solving - Uses rigorous logic and methods to solve difficult problems with effective solutions; conducts excellent and honest analysis; looks beyond the obvious and doesn’t stop at the first answer.Interpersonal Savvy - Able to relate well to all individuals within and beyond the organization; builds appropriate rapport along with constructive and effective relationships; uses diplomacy and tact.Perseverance -  Pursues everything with energy, drive, and a need to finish; seldom gives up before finishing, especially in the face of resistance or setbacks.Dealing With Ambiguity - Can effectively cope with change and shift gears comfortably; can decide and act without having the total picture.Creativity - Capable of coming up with new and unique ideas; easily makes connections among previously unrelated notions.Technical Learning - Picks up on technical things quickly, capable of learning new skills and knowledge, good at learning new industry, company, product, or technical knowledge.Intellectual Horsepower - Demonstrated ability to deal with concepts and complexity ",NineDot Energy
https://climatebase.org/job/46610310/northeastern-campaign-manager?source=jobs_directory,Northeastern Campaign Manager,"Any City, US","5+ years of experience in politics and advocacy or three election cycles. Preference given to those that have managed or served as a director on one or more major issue advocacy, federal or statewide political campaign. The ideal candidate is experienced in and adept as both an organizer and as a campaign tactician. They should be experienced in and well-prepared to frame issues, use polling and other research to guide advocacy communications, and organize outreach to stakeholders and coalition partners through a variety of paid and earned campaign tactics. Proven experience in managing internal processes, project teams and budgets. Exceptional ability to analyze information, formulate plans, and convey them in writing and through oral presentations. Track record of cultivating high-level relationships with political, non-profit advocacy, and philanthropic leaders, with a well-established professional network in politics, government, and non-profit advocacy. Ability to represent NRDC with maturity, judgment, and professionalism. A bachelor's degree or equivalent experience. Commitment to NRDC’s values and mission.",Natural Resources Defense Council
https://climatebase.org/job/46609089/mea-fabrication-technician?source=jobs_directory,MEA Fabrication Technician,"Alameda, California","You are excited about growth in a fast-paced and fluid technical environment. You have some experience working in a laboratory or manufacturing environment.You are looking for a role that will give you opportunities to expand your skills in leadership, organization, communication, and teamwork.You have acute attention to detail, excellent hand-eye coordination, strong time management and organizational skills.You are an effective communicator, love working with teams, and have a demonstrated track record of following directions or standard operating procedures (SOPs).You have outstanding organizational and document management skills.You have excellent computer literacy, expertise with Microsoft Office Tools and a high level of intellectual curiosity.",Twelve
https://climatebase.org/job/46610299/office-manager?source=jobs_directory,Office Manager,"Atlanta, Georgia, United States","2+ years of relevant office management experience.High School Diploma or GEDStrong time management and organizational skillsAbility to work independently.Excellent written and verbal communication skills. Manage time efficiently, meet personal and professional goals, and work effectively with others on the People Operations/cove.tool team","Cove Tool, Inc."
https://climatebase.org/job/46610479/supply-chain-manager?source=jobs_directory,Supply Chain Manager,"Brisbane, CA","We are solving the engineering problem of our generation.  Climate change is an existential threat, and we need as many of the world’s motivated minds as possible to help. There is no greater challenge or opportunity than fighting climate change. We have done this before.  We’re engineers, scientists, and concerned humans from a variety of backgrounds and experiences who are pooling our knowledge and skills to collectively build a more equitable, prosperous future for all.We are a united, resilient, and optimistic bunch.  We are all here for the same reason - to slow climate change. We recognize the magnitude of the challenge ahead of us, and believe we can solve it. We can see a hopeful future where we eventually reverse climate change. It won’t be easy, but we won’t quit.We are backed by the best climate partners in the world.  We’re well funded by investors from Breakthrough Energy Ventures, Ahren Innovation Capital, Carbon Direct, Microsoft, Lowercarbon Capital, ARPA-e and the National Science Foundation. Our early customers include Stripe, Shopify, and Klarna, and we’re building durable partnerships that enable us to tackle this decades-long problem. ",Heirloom
https://climatebase.org/job/46611585/pr-manager-mfd?source=jobs_directory,PR-Manager (m/f/d),Munich,"You see climate action as one of the greatest challenges of our time and have at least a good basic knowledge of climate action and sustainability - relevant experience / expert knowledge in these areas is a big plusYou have a hands-on mentality and like to tackle new ideasYou have a confident and self-assured manner, both in written and personal contact - even in challenging situationsYou have a good feel for news, have a network of journalists and know how to successfully place both corporate and socio-political topics or interviewsYou are familiar with stakeholder dialogues and know how to set up public affairs strategiesYou have strong communication skills and are eloquent  You are experienced in crisis communication and keep a strategic view and a cool head even in critical enquiries You have several years of relevant professional experience You have a very good command of German (native speaker level) and good English skills",ClimatePartner 
https://climatebase.org/job/46609009/director-application-engineering?source=jobs_directory,"Director, Application Engineering","Remote (Los Angeles, CA)","10+ years of experience building and leading teams, preferably in a high growth company.Thorough technical understanding of distributed energy technologies, including some combination of solar, battery, and reciprocating engines/turbines.Understanding of rotating power with reciprocating engines in the 200 to 2000kw size range per engine. This includes parallel operation with the utility bus as well as with other DER’s both in grid parallel mode as well as island mode operations.Strong knowledge of the various DER power sources within the Microgrid and how they best interface with the utility to provide a more efficient system.Demonstrated expertise and understanding of the US power markets, the interconnection process and requirements.Knowledge of systems controls for all the DER’s and how they can be utilized to accomplish specific operating goals while part of the Microgrid. These goals provide economic return for us and the customer.Strong communication skills including the ability to communicate with technical and non-technical people to make projects work.Understanding of relevant building, electrical, civil, etc. codes a plus.BS in Electrical Engineering with a focus on the power side.PE in power is preferred.Experience at an engineering / consulting firm is a plus.Advanced courses in power or a higher-level degree in the field is preferred.This is a great opportunity to have a long-term impact on a fast paced, private equity backed growth business. Some of the core virtues embraced by Scales’ employees include: Do the Right ThingAct Like An OwnerHustleDemand ResultsGo TogetherEvolve or Disappear",Scale Microgrid Solutions
https://climatebase.org/job/46611871/electrical-engineer?source=jobs_directory,Electrical Engineer,"Monroe, WA, USA","3+ years in a cross-functional electrical engineer design role, PCB design & system integration, power electronics and RF Experience working with CAN, including decoding messages & bus debugging Experience with fault tolerant system design at the hardware and firmware level Experience working with component vendors, sensor vendors, and assembly houses Ability to perform analog and digital hardware debugging, validation, and failure analysis Simulations - SPICE, IBIS Ability and desire to do hands-on work and in-field debug around heavy earthmoving equipment",AIM
https://climatebase.org/job/46239602/ui--ux-designer?source=jobs_directory,UI / UX Designer,Remote (US),"You have 3+ years experience designing advanced apps (scientific, B2B, prosumer, etc), and creating novel data visualizations.You have 2+ years experience managing and contributing to a design system.You are fluent in Figma, and understand how to use components and  assets.You have meticulous attention to detail, and a gift for representing information in ways that are simple, intuitive, and minimize cognitive load.You consider common best practices, and are also not afraid to explore novel solutions.You design responsive web UIs that optimize for the advantages of mobile and desktop.You’re a team player who excels in a collaborative environment, seeks out critical feedback, and can clearly articulate the tradeoffs of different design directions.You care deeply about our planet, and want to use your skills to help make a difference.",Twelve
https://climatebase.org/job/46230563/mechanical-design-integration-engineer?source=jobs_directory,Mechanical Design Integration Engineer,"Alameda, CA","Bachelor’s Degree in Engineering or equivalent industry experience10+/- years in Engineering with basic Field Construction experienceThe ability to lead and influence when needed; a proven track-record of success in highly collaborative environments.Expert knowledge with SolidWorks, Revit, and AutoCAD softwareExperienced point of contact interfacing with subcontractors to integrate SOW’s for Project needs.Experience working on highly integrated infrastructure projects.Flexibility, openness, and creative problem-solvingThe ability to leading large-scale projects - previous industrial / manufacturing building design experience preferredAbility to bring many different groups together, but also be a hands-on Individual contributorA growth and mentoring mindset, and in time ability to manage a small group of engineers and designers.Confidence in owning overall design models, mitigating downstream ripple effects to support design & construction modifications in real-time","Rondo Energy, Inc"
https://climatebase.org/job/46611870/senior-data-engineer?source=jobs_directory,Senior Data Engineer,Remote (Europe),"4+ years of experience as a Data Engineer Advanced SQL Experience Advanced Python Experience Experience with Git Experience deploying micro-services with CI/CD Ability to write readable code, create documentation for existing code, and refactor the previously written code into a readable state Advanced English skills",Freshflow GmbH
https://climatebase.org/job/46608993/accounting-assistant---remote-optional?source=jobs_directory,Accounting Assistant - Remote Optional,"Remote (Northampton, Massachusetts)",,Center for EcoTechnology
https://climatebase.org/job/46230568/senior-mechanical-design-engineer?source=jobs_directory,Senior Mechanical Design Engineer,"Alameda, CA","5 years of engineering experience from multiple industries and technologies; energy industry experience is a plus.A BS degree in Mechanical Engineering or related areasA technically hands-on person with multiple successful product designs, design for cost and cost reduction activitiesDemonstrated creativity and out-of-the-box thinking through a proven track record of innovation and/or patent portfolioAbility to solve mechanical engineering problems and develops conceptual designs across disciplinary boundariesSubject expertise in various mechanical engineering disciplinesFluency in SolidworksAbility to work in a team environmentCollaborate well with other disciplines to develop globally optimized solutionsDemonstrated ability to develop innovative designs from blank sheets to the product","Rondo Energy, Inc"
https://climatebase.org/job/46608696/senior-robotics-engineersenior-roboticist?source=jobs_directory,Senior Robotics Engineer/Senior Roboticist,Remote,"B.S. in Computer Science, Engineering, Mathematics or equivalent experience. At least 5 years combined graduate academic and professional software development experience. Strong C++ and Python skills. Passion for rigorous software engineering practices and code health (code reviews, unit testing, integration testing, automated e2e testing, …) Experience with ROS. Linux development experience. Demonstrated success working as part of a cross-functional team",AIM
https://climatebase.org/job/46258606/applications-engineer-mechanical-or-chemical-engineering-europe?source=jobs_directory,"Applications Engineer (Mechanical or Chemical Engineering), Europe",Europe,Passion for contributing to sustainable energy transitionAn education base in Engineering or equivalent work experienceAbility to operate autonomously and self-direct toward the highest priorityExcellent communication and teamwork abilitiesInnovative and results-oriented thinkingAbility to connect and build trust with a wide variety of customers or potential customersOutstanding presentation and oratory skillsThe ability to travel occasionally as needed within Europe for customer or investor meetings,"Rondo Energy, Inc"
https://climatebase.org/job/46395582/senior-sales-manager-europe?source=jobs_directory,"Senior Sales Manager, Europe",Europe,,"Rondo Energy, Inc"
https://climatebase.org/job/46392076/manager-mechanical-design-engineering-?source=jobs_directory,"Manager, Mechanical Design Engineering","Alameda, CA","5+ years hands-on design engineering experience preferably from multiple industries and technologies2+ years of management experienceExcellent oral and written communications skillsA BS degree in Mechanical Engineering or a related area.Demonstrated creativity and out-of-the-box thinking through a proven track record of innovation and/or patent portfolioSubject expertise in various mechanical engineering disciplines, specialized training or experience with high temperature materials is a plusFluency in Solidworks.Ability to work in a team environmentExperience designing, operating and/or troubleshooting systems and materials such as refractories, ceramics and insulation, operating at high temperatures, thermal cycling and/or under high thermal stresses is a plus","Rondo Energy, Inc"
https://climatebase.org/job/46281660/senior-manufacturing-engineer-construction-projects?source=jobs_directory,"Senior Manufacturing Engineer, Construction Projects","Alameda, CA","Bachelor's degree in Mechanical Engineering or a related field, or equivalent work experience 6+ years of experience in mechanical engineering with a focus on construction Strong project management skills with the ability to manage multiple projects simultaneouslyExperience working on construction sites and communicating with all levels of a construction teamAbility to communicate technical information to a non-technical audienceStrong proficiency with mechanical design software, such as SolidWorksKnowledge of industry regulations and safety standards related to mechanical systems and equipment in construction projects.Strong problem-solving skills, with the ability to identify and manage risks associated with mechanical systems and equipment in construction projects.PE Certification a plusBIM experience is also a plus ","Rondo Energy, Inc"
https://climatebase.org/job/46614301/rd-manufacturing-engineer-ii-subscale-build?source=jobs_directory,"R&D Manufacturing Engineer II, Subscale Build","Somerville, MA","2+ years of relevant experience in R&D / manufacturing BS in  Mechanical Engineering, Industrial Engineering or related major Experience leading project execution in cross-functional teamsExperience with writing work instructions and training technicians  Excellent communication and organizational skills",Form Energy
https://climatebase.org/job/46423268/director-of-quality?source=jobs_directory,Director of Quality,"Alameda, CA","Bachelor's degree in engineering or a related field, or equivalent work experience At least 5 years of experience in quality management with a strong background in quality control procedures, engineering, and metrology Experience managing quality control and assurance for raw materials, construction assembly quality, and finished goods Strong understanding of quality control procedures and industry standards, with experience in implementing and maintaining quality management systems Excellent communication and interpersonal skills, with the ability to work collaboratively with stakeholders at all levels of the organization Strong analytical and problem-solving skills, with the ability to identify root causes of non-conformance and develop effective corrective and preventive actions Strong leadership skills, with the ability to motivate and inspire a team to achieve high levels of quality control and assurance This role requires up to 30% travel.","Rondo Energy, Inc"
https://climatebase.org/job/46614352/software-engineering-co-op---fall-2023?source=jobs_directory,Software Engineering Co-op - Fall 2023,"Somerville, MA","Pursuing a degree in Computer Science or other relevant field at an academic institution Some previous software design and build experience (through industrial internship or academic positions)Previous projects or other relevant hands-on experience such as: extracurricular teams, academic research, personal projects, self-directed class projectsAbility to work full-time (with a minimum 3 days per week on-site in Somerville) during the coop period (late-summer/early-fall through late-December)Battery experience not required",Form Energy
https://climatebase.org/job/46423274/vp-product-design-engineering?source=jobs_directory,"VP, Product Design Engineering","Alameda, CA","Strong leadership skills and 5+ years of management experienceExcellent people and project management skills, ability to manage multiple projects simultaneouslyExcellent communication and interpersonal skills with the ability to collaborate effectively across your team and with peersAt least 5 years of hands-on experience in mechanical, structural, high power electrical, or related engineering fieldsDemonstrated ability to manage budgets and resources effectively","Rondo Energy, Inc"
https://climatebase.org/job/46614698/vp-finance?source=jobs_directory,VP Finance,"New York, NY","Experienced professional with proven managerial track record leading accounting and finance functions, preferably with experience building an FP&A function. Experience with private-equity backed companies and fundraising preferred.Strong interpersonal skills, ability to communicate and manage well at all levels of the organization.Strong problem-solving and creative skills, and the ability to exercise sound judgment and make decisions based on accurate and timely analyses.High level of integrity and dependability with a strong sense of urgency and results-orientation.Experience partnering with an executive team, and a high level of written and oral communication skills.Excellent analytical, reasoning and problem-solving skills.Proficiency in accounting software, preferably QuickBooksStrong Excel skills. Bachelor's degree in Finance, Accounting, or related field. A Master's degree in Business Administration (MBA) or equivalent is advantageous, but not required.",Carbon Direct
https://climatebase.org/job/45649725/data-analyst-remote-in-west-coast-remote?source=jobs_directory,"Data Analyst (Remote in West Coast, Remote)",Remote (United States),"Work closely with and bring your ""data hat"" to Product, Engineering, and business partners to ensure that decisions are made using accurate data, not assumptions Establish and track KPIs for product features and business initiatives, including A/B testing, conversion rates, and feature experimentation Develop meaningful aggregates and single source of truth using ETL Perform statistical analysis and build prediction models to derive actionable and business-impacting insights from data including marketing, customer interactions and smart devices such as plugs, thermostats, electric vehicles and electric smart meters. Participate in our agile development process - regular team updates, standup meetings, 1-on-1’s",OhmConnect
https://climatebase.org/job/46060228/head-of-people?source=jobs_directory,Head of People,"Remote (Brooklyn, NY)",,EnergyHub
https://climatebase.org/job/46346903/controller?source=jobs_directory,Controller,Remote (USA),Manage a documented system of internal controls of accounting and financial transactions Ensure the accounting function is providing continuous cost control support to internal teams across the company Recommend changes to process and procedures in order to improve efficiency and effectiveness of the accounting function,Sealed
https://climatebase.org/job/46547419/initiativbewerbung-festanstellung?source=jobs_directory,Initiativbewerbung (Festanstellung),Remote,,Novocarbo GmbH
https://climatebase.org/job/46614605/solar-pv-engineer-commercial--industrial?source=jobs_directory,Solar PV Engineer (Commercial & Industrial),Remote,,InRange
https://climatebase.org/job/46614180/network-administrator?source=jobs_directory,Network Administrator,"Remote (Bay Area, United States)",,Pivot Bio
https://climatebase.org/job/46612324/regulatory-affairs-specialist?source=jobs_directory,Regulatory Affairs Specialist,"Remote (Ny, Vt)","BA/BS with 3-6 years of work experience, and at least 2 years in the energy sectorDeep comprehension of the electricity industry and the utility business model, including key trends and stakeholder landscapeExperience with utility programs, technologies and/or regulatory concepts spanning energy efficiency, demand flexibility, transportation electrification, energy storage, grid modernization, integrated resource planning, and customer rate designsBasic knowledge of wholesale electricity market design and operationsBasic knowledge of distribution system management (e.g., interconnection, hosting capacity, network fault/constraint management)Experience drafting and copy editing regulatory comments, media, blogs, and customer-facing marketing and sales contentAn appetite to learn all about EnergyHub’s DERMS platformExcellent written and oral communication skillsDemonstrated success in a fast-paced team environmentYou have experience using Excel, Salesforce, Tableau, or other software tools to analyze and visualize dataYou have a knack for leveraging webinars and social media to express thought leadership, and nuanced policy perspectives, and shape market conversations ",EnergyHub
https://climatebase.org/job/46614475/account-executive?source=jobs_directory,Account Executive,"Remote (Fremont, CA)",Communicate with prospective and current customersGrow and maintain our sales pipelineRelay information and trends back to our engineering teamContinue to develop and maintain Artyc’s conference strategyEstablish repeatable/trackable processes and procedures,Artyc
https://climatebase.org/job/46615041/project-finance-analyst?source=jobs_directory,Project Finance Analyst,"Asbury Park, NJ, USA",Perform ad-hoc data analysis and research work for customers and internal team members,Solar Landscape
https://climatebase.org/job/46615040/clean-fuel-standard-senior-program-analyst-environmental-specialist-5-in-training?source=jobs_directory,Clean Fuel Standard Senior Program Analyst (Environmental Specialist 5) (In-Training),"Lacey, WA, USA","Support analysts in the monitoring and verification of fuel and credit transaction reports. Validate data and monitor for fraud or instances of double-counting. Monitor transportation fuels markets and supplies in Washington. Attend meetings with the Department of Commerce on the annual fuel supply forecast and ensure the forecast reflects real-world conditions. Monitor and track in-state biofuel production capacity and feedstock use. Assess progress toward state-mandated biofuel production and alternative jet fuel production milestones. Produce monthly and annual data reports. Support analysts in tracking electricity use and electric vehicle charging reports. Work with IT staff and program stakeholders to develop, test, and maintain the Washington Fuel Reporting System, and identify and fix problems as they arise. With colleagues, develop and maintain a reporting desk manual and other support documents. Monitor independent data sources such as market news, fuel tax data, and data reported to other Clean Fuels programs to validate Washington Clean Fuel Standard data and detect possible fraud or double-counting. Support the rulemaking process with research, data analysis, policy development, and stakeholder response. Provide research and data analysis to support enforcement actions, as well as outreach and communications. Seek to maximize equity and environmental justice in the operation of the Clean Fuel Standard program. Provide research and analysis to support efforts to improve equity and better serve overburdened communities.",Washington State Department of Ecology
https://climatebase.org/job/46615049/sustainability-specialist?source=jobs_directory,Sustainability Specialist,"Mountain View, CA, USA","Availability and commitment to the full-time fellowship program. Fellowships typically range from 10-12 months in length and will begin in September 2023. Most positions currently include some on-site work, unless noted otherwise in the position description. A college degree, preferably in a sustainability, climate, or energy area; or an equivalent combination of other education and sustainability, energy, or climate work experience.  A general understanding of clean energy or environmental policy. Community outreach and communications experience. A connection to the placement location. This is an equal opportunity position and we prefer to place a candidate who already lives in the region being served. Genuine commitment to anti-racism, willingness to work in racial equity frameworks, experience in addressing racism and racial equity with team members and programmatically.",SEI: Building Leaders for a Resilient World
https://climatebase.org/job/46615046/silicon-valley-clean-energy-fellowships?source=jobs_directory,Silicon Valley Clean Energy Fellowships,"Sunnyvale, CA, USA","Exceptional research skills  Strong ability to report findings to management in succinct, data-driven presentations  Basic understanding of principles of California Wholesale Power Markets Experience using data analytics tools, such as Microsoft Excel, PowerBI, and Python; Related technologies, is desired, but not required.  Knowledge of California regulatory and legislative bodies and processes governing energy procurement, emissions, and climate change  Educational focus on finance, economics, public policy, business administration, or related field ",SEI: Building Leaders for a Resilient World
https://climatebase.org/job/46615047/climate-resilience-and-community-innovation-fellow?source=jobs_directory,Climate Resilience and Community Innovation Fellow,"Remote (Oregon, USA)","Pay: $2,900/month Additional Pay: $1,000 bonus upon program completion Benefits: Health care coverage, professional development, industry networking, University of California Climate Stewards Certification.",SEI: Building Leaders for a Resilient World
https://climatebase.org/job/46615048/energy-specialist-fellowship?source=jobs_directory,Energy Specialist Fellowship,"Sumner, WA, USA",Support with planned replacements and/or retrofits Support energy team initiatives Support the development of scope for low and no-cost measures Support compliance with Clean Buildings Standard Support building automation systems performance and compliance with district policy,SEI: Building Leaders for a Resilient World
https://climatebase.org/job/46615051/software-engineer-senior?source=jobs_directory,Software Engineer (Senior),Remote (North America),"Experience with ML, cross-platform mobile applications, or infra Experience working in both early-stage startups and larger companies Experience working within the climate tech, sustainability, or renewable energy sectors.",Kopperfield
https://climatebase.org/job/46615050/senior-product-marketing-manager?source=jobs_directory,Senior Product Marketing Manager,Remote (United States),"A Communicator: You are always aware of your audience and adapt your communications to serve them. You have excellent verbal and written communications skills, with hands-on experience generating messaging and enablement assets from scratch. User-centric: You are adept at getting to know customers and empathizing with them, and you are energized by bringing these learnings into strategic and product conversations. Passionate about product, technology and climate: You are eager to understand the technical details, and then explain them in ways that everyday people can understand. You are endlessly excited to advance climate solutions. Organized: You are able to manage multiple, complex projects simultaneously – to prioritize effectively, to understand and own the details, and to meet deadlines. Adaptable: You are eager to join a rapidly growing organization – that is fast-paced and scrappy, but at the same time partners with large enterprises and both meets and exceeds their expectations for product and customer service. Collaborative: This is a highly collaborative role – and the individual in it will work with every department within CHOOOSE and impact almost every customer account. You enjoy working with others, and you enjoy the “translation” that comes from working across organizations and areas of expertise. Experienced: You have a demonstrated record delivering on Product Marketing within a growing B2B SaaS organization. Well-rounded marketing experience, in addition to Product Marketing, is beneficial.",CHOOOSE
https://climatebase.org/job/46463529/customer-success-manager-ii?source=jobs_directory,Customer Success Manager II,Remote (San Francisco Bay Area),"3 - 5 years of experience managing customer relationships, projects, or programs in energy, climate, or related software.Experience in at least one of the following areas: customer success for software solutions; electrical utilities; renewable energy resources and development; grant project management; program development and administration.Experience working as a part of cross-functional teams of both technical and non-technical people especially communicating technical concepts to non-technical audiences.Expertise managing customer and stakeholder expectations and feedback to support engineers and strategic product advancements.Ability to multitask and exercise good judgement to achieve business results while fostering positive teaming dynamics.Strong writing, communication, and presentation skills.A propensity for relationship building.Comfortably balancing confidence with humility. ",CAMUS ENERGY
https://climatebase.org/job/46537756/-content-marketing-manager?source=jobs_directory,Content Marketing Manager,Remote,,Climatebase
https://climatebase.org/job/46599029/fellowship-operations?source=jobs_directory,Fellowship Operations,Remote (USA),"Curriculum sessions with our instructors Networking sessions between Fellows Guest speaker sessions with high-profile climate leaders, founders, investors, scientists, policy makers, activists, and thought leaders Sessions led by our Fellows ",Climatebase
