job_title,job_detail_url,job_listed,company_name,company_link,company_location
Smart Contract Developer - Decentralized Crypto Exchange,https://www.linkedin.com/jobs/view/smart-contract-developer-decentralized-crypto-exchange-at-cryptorecruit-3637486543?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=sxb40fFQnXDQcdcC2qHpUg%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card,6 days ago,CryptoRecruit,https://au.linkedin.com/company/cryptorecruit?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Assistant Project Manager,https://www.linkedin.com/jobs/view/assistant-project-manager-at-capio-group-3644536473?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=GnqOYnoUFaVcWlam8I0HtA%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card,8 hours ago,Capio Group,https://www.linkedin.com/company/capio-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"Sacramento, CA"
Data Entry Clerk - Remote Work,https://www.linkedin.com/jobs/view/data-entry-clerk-remote-work-at-data-entry-remote-jobs-derj-3643459373?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=hHlajzjp6vf2tq3BVYMm0g%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card,4 hours ago,Data Entry Remote Jobs (DERJ),https://bd.linkedin.com/company/data-entry-remote-jobs?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Senior Corporate Counsel - Commercial Transactions,https://www.linkedin.com/jobs/view/senior-corporate-counsel-commercial-transactions-at-marvell-technology-3644453477?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=yLLvsrl6N2RgwWmPjfvNSw%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card,11 hours ago,Marvell Technology,https://www.linkedin.com/company/marvell?trk=public_jobs_jserp-result_job-search-card-subtitle,"Irvine, CA"
$30-35/hr - Contract Portfolio Compliance Analyst (Hybrid),https://www.linkedin.com/jobs/view/%2430-35-hr-contract-portfolio-compliance-analyst-hybrid-at-propivotal-staffing-3644832246?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=iVw8PqyyZdtqBXpUGPtu%2Fw%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card,4 hours ago,ProPivotal Staffing,https://www.linkedin.com/company/propivotal-staffing?trk=public_jobs_jserp-result_job-search-card-subtitle,"Austin, TX"
Contract Manager,https://www.linkedin.com/jobs/view/contract-manager-at-luna-data-solutions-inc-3635102204?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=fGILk5s5ucFmy9NY%2FpofPQ%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card,5 days ago,"Luna Data Solutions, Inc.",https://www.linkedin.com/company/luna-data-solutions?trk=public_jobs_jserp-result_job-search-card-subtitle,"Austin, TX"
Refugee Data Analyst,https://www.linkedin.com/jobs/view/refugee-data-analyst-at-colorado-state-university-3643477188?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=GEnd1rUXlaAzvDbQgdrFwg%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card,1 week ago,Colorado State University,https://www.linkedin.com/company/colorado-state-university?trk=public_jobs_jserp-result_job-search-card-subtitle,"Denver, CO"
Compliance Specialist,https://www.linkedin.com/jobs/view/compliance-specialist-at-bridgepoint-associates-3644455897?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=bbj%2FXhQYMmMKPyHmRPJzjw%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card,10 hours ago,BridgePoint Associates,https://www.linkedin.com/company/bridgepoint-associates?trk=public_jobs_jserp-result_job-search-card-subtitle,"Washington, DC"
"Assistant, Data Entry / Entry Level (Remote)",https://www.linkedin.com/jobs/view/assistant-data-entry-entry-level-remote-at-hirematch-3644838413?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=nfC1xcL1jx5oWzF5LdKm9Q%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card,4 hours ago,HireMatch,https://www.linkedin.com/company/hire-match?trk=public_jobs_jserp-result_job-search-card-subtitle,"Phoenix, AZ"
Contract Specialist,https://www.linkedin.com/jobs/view/contract-specialist-at-petvet-gmbh-3643499697?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=S6nxZ6%2F8ZgFbAhlwwxaHdg%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card,1 day ago,PetVet GmbH,https://de.linkedin.com/company/petvet-gmbh?trk=public_jobs_jserp-result_job-search-card-subtitle,"Providence, RI"
"Senior Associate, Federal Contract Administrator",https://www.linkedin.com/jobs/view/senior-associate-federal-contract-administrator-at-kpmg-us-3643458829?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=8WR2HXFXA7Gzb5eHQDUX7w%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card,3 hours ago,KPMG US,https://www.linkedin.com/company/kpmg-us?trk=public_jobs_jserp-result_job-search-card-subtitle,"Miami, FL"
Contract Specialist,https://www.linkedin.com/jobs/view/contract-specialist-at-defense-logistics-agency-3643493686?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=aoR8B7Ye%2FPuhmfL3DQJ7Fw%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card,6 days ago,Defense Logistics Agency,https://www.linkedin.com/company/defense-logistics-agency?trk=public_jobs_jserp-result_job-search-card-subtitle,"Force, PA"
CONTRACTS COORD,https://www.linkedin.com/jobs/view/contracts-coord-at-city-of-chicago-3639346476?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=LaMxKrJI9nbAOwh9Hx0qhg%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card,6 days ago,City of Chicago,https://www.linkedin.com/company/city-of-chicago?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chicago, IL"
Corporate Strategy Analyst,https://www.linkedin.com/jobs/view/corporate-strategy-analyst-at-oia-global-3643456903?refId=zp9kO7x5l4CbUzNVPeoGkw%3D%3D&trackingId=JF4PrBca8hQsBFPCCR0M6g%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card,3 weeks ago,OIA GLOBAL,https://www.linkedin.com/company/oia-global?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Provider Contract/Cost of Care Consultant (US),https://www.linkedin.com/jobs/view/provider-contract-cost-of-care-consultant-us-at-elevance-health-3632921124?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=Xo86ApxvFsv3jPWA0Iv8vQ%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,Elevance Health,https://www.linkedin.com/company/elevance-health?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chicago, IL"
Contract Administrator,https://www.linkedin.com/jobs/view/contract-administrator-at-stealth-startup-3636431117?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=XijDrsejZMSIVXzPVGrI9A%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,Stealth Startup,https://www.linkedin.com/company/stealth-startup-51?trk=public_jobs_jserp-result_job-search-card-subtitle,"Irvine, CA"
Contract M&A Consultant,https://www.linkedin.com/jobs/view/contract-m-a-consultant-at-beacon-hill-staffing-group-3622483442?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=ii8qOSZKq5oarnSTEf%2BpSg%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card,3 weeks ago,Beacon Hill Staffing Group,https://www.linkedin.com/company/beacon-hill-staffing-group?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Project Coordinator (Contract),https://www.linkedin.com/jobs/view/project-coordinator-contract-at-finalsite-3635388709?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=NEavQXB81QB%2BeLeCB3qAEg%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,Finalsite,https://www.linkedin.com/company/finalsite?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Contract Procurement Specialist (5 months) - Remote | WFH,https://www.linkedin.com/jobs/view/contract-procurement-specialist-5-months-remote-wfh-at-get-it-recruit-transportation-3630972043?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=%2Fi8ttz4y6xjCRZXVPWtYWw%3D%3D&position=5&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,Get It Recruit - Transportation,https://www.linkedin.com/company/get-it-recruit-transportation?trk=public_jobs_jserp-result_job-search-card-subtitle,"Sunnyvale, CA"
Contract Administrator - Remote | Hybrid,https://www.linkedin.com/jobs/view/contract-administrator-remote-hybrid-at-get-it-recruit-transportation-3618975236?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=86pSWPV0toeqxARdBM4%2FEw%3D%3D&position=6&pageNum=3&trk=public_jobs_jserp-result_search-card,3 weeks ago,Get It Recruit - Transportation,https://www.linkedin.com/company/get-it-recruit-transportation?trk=public_jobs_jserp-result_job-search-card-subtitle,"Phoenix, AZ"
Provider Contract/Cost of Care Consultant (US),https://www.linkedin.com/jobs/view/provider-contract-cost-of-care-consultant-us-at-elevance-health-3632918495?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=Zfxn7ZYpj4%2BRRp%2FwLIPgCQ%3D%3D&position=7&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,Elevance Health,https://www.linkedin.com/company/elevance-health?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
"Manager, Contract and Pricing Execution (US - Remote)",https://www.linkedin.com/jobs/view/manager-contract-and-pricing-execution-us-remote-at-biospace-3637312878?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=1RaPnjGiosBqwCZLO7ZHCQ%3D%3D&position=8&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,BioSpace,https://www.linkedin.com/company/biospaceinc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Thousand Oaks, CA"
Senior Contract Manager,https://www.linkedin.com/jobs/view/senior-contract-manager-at-weyerhaeuser-3635529941?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=Hcu%2FXPE8pon8L%2BcKViEEew%3D%3D&position=9&pageNum=3&trk=public_jobs_jserp-result_search-card,1 month ago,Weyerhaeuser,https://www.linkedin.com/company/weyerhaeuser?trk=public_jobs_jserp-result_job-search-card-subtitle,"Seattle, WA"
Contract Specialist - Hybrid Option,https://www.linkedin.com/jobs/view/contract-specialist-hybrid-option-at-ou-health-3629116003?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=StKc%2FkDLhNolRVCuUEApmA%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card,2 weeks ago,OU Health,https://www.linkedin.com/company/ouhealth?trk=public_jobs_jserp-result_job-search-card-subtitle,"Oklahoma City, OK"
Junior Contract Specialist,https://www.linkedin.com/jobs/view/junior-contract-specialist-at-interactive-government-holdings-inc-3617313436?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=HA6dnFCq8P%2FBHqTMbyOP%2FA%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card,1 month ago,"Interactive Government Holdings, Inc.",https://www.linkedin.com/company/interactivegov?trk=public_jobs_jserp-result_job-search-card-subtitle,"Bethesda, MD"
"Paralegal - Contract Negotiator Manager, CNM job - Remote | WFH",https://www.linkedin.com/jobs/view/paralegal-contract-negotiator-manager-cnm-job-remote-wfh-at-get-it-recruit-professional-services-3623282970?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=g6S0zNwIVPLzkJevwzu3dA%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card,2 weeks ago,Get It Recruit - Professional Services,https://www.linkedin.com/company/get-it-recruit-professional-services?trk=public_jobs_jserp-result_job-search-card-subtitle,"Baton Rouge, LA"
Contract Specialist,https://www.linkedin.com/jobs/view/contract-specialist-at-defense-logistics-agency-3639159806?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=GXt8IVgO0vC%2FsYgqPx5Mzg%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card,6 days ago,Defense Logistics Agency,https://www.linkedin.com/company/defense-logistics-agency?trk=public_jobs_jserp-result_job-search-card-subtitle,Oklahoma City Metropolitan Area
Federal Contract Negotiator,https://www.linkedin.com/jobs/view/federal-contract-negotiator-at-esri-3629783830?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=Y%2B5rDEr2Tfmk0x1cBK4J5g%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card,2 weeks ago,Esri,https://www.linkedin.com/company/esri?trk=public_jobs_jserp-result_job-search-card-subtitle,"Redlands, CA"
CONTRACT SPECIALIST,https://www.linkedin.com/jobs/view/contract-specialist-at-defense-information-systems-agency-3639723011?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=llOkteS726R1kuadmRYhuA%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card,1 month ago,Defense Information Systems Agency,https://www.linkedin.com/company/defenseinformationsystemsagency?trk=public_jobs_jserp-result_job-search-card-subtitle,"Fort Meade, MD"
Contract Consultant (Grant Consultant),https://www.linkedin.com/jobs/view/contract-consultant-grant-consultant-at-indiana-university%E2%80%93purdue-university-indianapolis-3619516479?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=sxMy3eiPPU0BymAAJOWHoA%3D%3D&position=16&pageNum=3&trk=public_jobs_jserp-result_search-card,3 weeks ago,Indiana University–Purdue University Indianapolis,https://www.linkedin.com/company/indiana-university%E2%80%93purdue-university-indianapolis?trk=public_jobs_jserp-result_job-search-card-subtitle,"Gary, IN"
Contract Administrator,https://www.linkedin.com/jobs/view/contract-administrator-at-chromalloy-3621814381?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=%2BMflk3TgmMTZROFcOla54w%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card,3 weeks ago,Chromalloy,https://www.linkedin.com/company/chromalloy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Palm Beach Gardens, FL"
Provider Contract/Cost of Care Consultant (US),https://www.linkedin.com/jobs/view/provider-contract-cost-of-care-consultant-us-at-elevance-health-3632918501?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=0Nm9EHwsecI08I992N%2BzAg%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,Elevance Health,https://www.linkedin.com/company/elevance-health?trk=public_jobs_jserp-result_job-search-card-subtitle,"Denver, CO"
Procurement Contract Specialist,https://www.linkedin.com/jobs/view/procurement-contract-specialist-at-coca-cola-beverages-florida-3639986500?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=Q7dXmFSBEVhsaV2ysyMVeQ%3D%3D&position=19&pageNum=3&trk=public_jobs_jserp-result_search-card,11 hours ago,Coca-Cola Beverages Florida,https://www.linkedin.com/company/cokeflorida?trk=public_jobs_jserp-result_job-search-card-subtitle,"Tampa, FL"
Contract Specialist,https://www.linkedin.com/jobs/view/contract-specialist-at-insync-staffing-3632313957?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=E4O%2BzoX9ucDe7qci44GE5w%3D%3D&position=20&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,inSync Staffing,https://www.linkedin.com/company/insync-staffing?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles, CA"
Contract Consultant (Grant Consultant),https://www.linkedin.com/jobs/view/contract-consultant-grant-consultant-at-indiana-university%E2%80%93purdue-university-indianapolis-3619515500?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=umiXoZtDGSgoiuwNflv7EQ%3D%3D&position=21&pageNum=3&trk=public_jobs_jserp-result_search-card,3 weeks ago,Indiana University–Purdue University Indianapolis,https://www.linkedin.com/company/indiana-university%E2%80%93purdue-university-indianapolis?trk=public_jobs_jserp-result_job-search-card-subtitle,"Richmond, IN"
Provider Contract/Cost of Care Consultant (US),https://www.linkedin.com/jobs/view/provider-contract-cost-of-care-consultant-us-at-elevance-health-3632923056?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=etw3ye1xQqfApYGtO088Dw%3D%3D&position=22&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,Elevance Health,https://www.linkedin.com/company/elevance-health?trk=public_jobs_jserp-result_job-search-card-subtitle,"Nashville, TN"
Senior Contract Administrator (Remote),https://www.linkedin.com/jobs/view/senior-contract-administrator-remote-at-fluor-corporation-3635345044?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=OIDc4i9LkmLWI7n1MmUXCA%3D%3D&position=23&pageNum=3&trk=public_jobs_jserp-result_search-card,1 month ago,Fluor Corporation,https://www.linkedin.com/company/fluor?trk=public_jobs_jserp-result_job-search-card-subtitle,"Greenville, SC"
Contract Manager,https://www.linkedin.com/jobs/view/contract-manager-at-talentbridge-3630324847?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=01krcX9lRxBuhNoYy2x7bw%3D%3D&position=24&pageNum=3&trk=public_jobs_jserp-result_search-card,1 week ago,TalentBridge,https://www.linkedin.com/company/talentbridge?trk=public_jobs_jserp-result_job-search-card-subtitle,"Charlotte, NC"
Contract Negotiator,https://www.linkedin.com/jobs/view/contract-negotiator-at-amtex-systems-inc-3625271189?refId=0lU6vB19kpeIaZ3t1srLzA%3D%3D&trackingId=s7wMPC6IYAA8PO7VgK12wg%3D%3D&position=25&pageNum=3&trk=public_jobs_jserp-result_search-card,2 weeks ago,Amtex Systems Inc.,https://www.linkedin.com/company/amtex-systems-inc?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Contract Specialist,https://www.linkedin.com/jobs/view/contract-specialist-at-insync-staffing-3632313957?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=uzAmg%2BDooR5XDYSuXFTMxg%3D%3D&position=1&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,inSync Staffing,https://www.linkedin.com/company/insync-staffing?trk=public_jobs_jserp-result_job-search-card-subtitle,"Los Angeles, CA"
Contracts Specialist,https://www.linkedin.com/jobs/view/contracts-specialist-at-grace-pacific-llc-3609628682?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=pLElZtV47x1Hq7ckAaOkfw%3D%3D&position=2&pageNum=4&trk=public_jobs_jserp-result_search-card,1 month ago,Grace Pacific LLC,https://www.linkedin.com/company/grace-pacific-llc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Honolulu, HI"
Contract Specialist,https://www.linkedin.com/jobs/view/contract-specialist-at-defense-logistics-agency-3639153541?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=ZQ0xdrtxp2VLs1XpW%2BPh3Q%3D%3D&position=3&pageNum=4&trk=public_jobs_jserp-result_search-card,6 days ago,Defense Logistics Agency,https://www.linkedin.com/company/defense-logistics-agency?trk=public_jobs_jserp-result_job-search-card-subtitle,"Oklahoma, United States"
Contracts Specialist - Entry Level,https://www.linkedin.com/jobs/view/contracts-specialist-entry-level-at-national-reconnaissance-office-nro-3639186256?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=4t1ocRWYa1j%2BcKJamTnO2Q%3D%3D&position=4&pageNum=4&trk=public_jobs_jserp-result_search-card,3 weeks ago,National Reconnaissance Office (NRO),https://www.linkedin.com/company/nro-gov?trk=public_jobs_jserp-result_job-search-card-subtitle,"Chantilly, VA"
"Manager, Contract and Pricing Execution (US - Remote)",https://www.linkedin.com/jobs/view/manager-contract-and-pricing-execution-us-remote-at-biospace-3637312878?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=WHxvgiGHXdvqpS5idgYLug%3D%3D&position=5&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,BioSpace,https://www.linkedin.com/company/biospaceinc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Thousand Oaks, CA"
Contract Management Specialist IV,https://www.linkedin.com/jobs/view/contract-management-specialist-iv-at-city-of-austin-3631135450?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=O9E6pLWW%2BZDVRgVbzszEqg%3D%3D&position=6&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,City of Austin,https://www.linkedin.com/company/city-of-austin?trk=public_jobs_jserp-result_job-search-card-subtitle,"Austin, TX"
Contract Specialist,https://www.linkedin.com/jobs/view/contract-specialist-at-defense-logistics-agency-3643493686?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=PG8jE11LuhH4hSzrmMH%2FSw%3D%3D&position=7&pageNum=4&trk=public_jobs_jserp-result_search-card,6 days ago,Defense Logistics Agency,https://www.linkedin.com/company/defense-logistics-agency?trk=public_jobs_jserp-result_job-search-card-subtitle,"Force, PA"
Compensation Analyst (Contract Remote),https://www.linkedin.com/jobs/view/compensation-analyst-contract-remote-at-robert-half-3625869120?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=HkEBpAU7Q9oKgZHKpX8ctA%3D%3D&position=8&pageNum=4&trk=public_jobs_jserp-result_search-card,3 weeks ago,Robert Half,https://www.linkedin.com/company/robert-half-international?trk=public_jobs_jserp-result_job-search-card-subtitle,"Atlanta, GA"
Contract Negotiator- Federal,https://www.linkedin.com/jobs/view/contract-negotiator-federal-at-esri-3629783832?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=FZcnMEArIODjC2zflZSBTA%3D%3D&position=9&pageNum=4&trk=public_jobs_jserp-result_search-card,2 weeks ago,Esri,https://www.linkedin.com/company/esri?trk=public_jobs_jserp-result_job-search-card-subtitle,"Redlands, CA"
Senior Contract Administrator (Remote),https://www.linkedin.com/jobs/view/senior-contract-administrator-remote-at-fluor-corporation-3635345044?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=mU5ZZFlwWCiQ0ytw4kA16Q%3D%3D&position=10&pageNum=4&trk=public_jobs_jserp-result_search-card,1 month ago,Fluor Corporation,https://www.linkedin.com/company/fluor?trk=public_jobs_jserp-result_job-search-card-subtitle,"Greenville, SC"
Contract Manager,https://www.linkedin.com/jobs/view/contract-manager-at-talentbridge-3630324847?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=B7rKHrtNHNOXnKqDUUpC5A%3D%3D&position=11&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,TalentBridge,https://www.linkedin.com/company/talentbridge?trk=public_jobs_jserp-result_job-search-card-subtitle,"Charlotte, NC"
Provider Contract/Cost of Care Consultant (US),https://www.linkedin.com/jobs/view/provider-contract-cost-of-care-consultant-us-at-elevance-health-3632918495?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=a0PO6TnpG2dJn%2FTw3qBbUQ%3D%3D&position=12&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,Elevance Health,https://www.linkedin.com/company/elevance-health?trk=public_jobs_jserp-result_job-search-card-subtitle,"New York, NY"
Contract Specialist | Temporary,https://www.linkedin.com/jobs/view/contract-specialist-temporary-at-the-ford-agency-3631806082?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=6lil6CnaVZjSS08xOGAlUw%3D%3D&position=13&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,The Ford Agency,https://www.linkedin.com/company/the-ford-agency-inc-?trk=public_jobs_jserp-result_job-search-card-subtitle,"Washington, DC"
Senior Contract Manager,https://www.linkedin.com/jobs/view/senior-contract-manager-at-weyerhaeuser-3635529941?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=AvcFdG6XnIJQebuRjCkRGg%3D%3D&position=14&pageNum=4&trk=public_jobs_jserp-result_search-card,1 month ago,Weyerhaeuser,https://www.linkedin.com/company/weyerhaeuser?trk=public_jobs_jserp-result_job-search-card-subtitle,"Seattle, WA"
Contracts Specialist,https://www.linkedin.com/jobs/view/contracts-specialist-at-tesla-laboratories-3626800829?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=w0CvtBEmPbpzROyvLv97Ug%3D%3D&position=15&pageNum=4&trk=public_jobs_jserp-result_search-card,2 weeks ago,Tesla Laboratories,https://www.linkedin.com/company/tesla-laboratories?trk=public_jobs_jserp-result_job-search-card-subtitle,"Washington, DC"
Paralegal Contract Specialist,https://www.linkedin.com/jobs/view/paralegal-contract-specialist-at-adventhealth-3629948191?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=daJkXvZRh%2BBDztMZsUkTjQ%3D%3D&position=16&pageNum=4&trk=public_jobs_jserp-result_search-card,2 weeks ago,AdventHealth,https://www.linkedin.com/company/adventhealth?trk=public_jobs_jserp-result_job-search-card-subtitle,"Altamonte Springs, FL"
Contract Relationship Coordinator,https://www.linkedin.com/jobs/view/contract-relationship-coordinator-at-uha-health-insurance-3626239032?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=bu2HXQaRem3CHFhg7cPh6g%3D%3D&position=17&pageNum=4&trk=public_jobs_jserp-result_search-card,3 weeks ago,UHA Health Insurance,https://www.linkedin.com/company/uha?trk=public_jobs_jserp-result_job-search-card-subtitle,"Honolulu, HI"
Contracts Specialist,https://www.linkedin.com/jobs/view/contracts-specialist-at-workrise-3615939705?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=St3N4YDj8hnMEQ9%2Fs4AeJA%3D%3D&position=18&pageNum=4&trk=public_jobs_jserp-result_search-card,4 weeks ago,Workrise,https://www.linkedin.com/company/workrise?trk=public_jobs_jserp-result_job-search-card-subtitle,"Plano, TX"
Provider Contract/Cost of Care Consultant (US),https://www.linkedin.com/jobs/view/provider-contract-cost-of-care-consultant-us-at-elevance-health-3632923056?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=ftY5mTVJaRilk%2Bsf4L%2BpVA%3D%3D&position=19&pageNum=4&trk=public_jobs_jserp-result_search-card,1 week ago,Elevance Health,https://www.linkedin.com/company/elevance-health?trk=public_jobs_jserp-result_job-search-card-subtitle,"Nashville, TN"
CONTRACT SPECIALIST,https://www.linkedin.com/jobs/view/contract-specialist-at-defense-information-systems-agency-3639723011?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=hYyc%2B210qhHthe8gv0gdrw%3D%3D&position=20&pageNum=4&trk=public_jobs_jserp-result_search-card,1 month ago,Defense Information Systems Agency,https://www.linkedin.com/company/defenseinformationsystemsagency?trk=public_jobs_jserp-result_job-search-card-subtitle,"Fort Meade, MD"
Federal Contract Negotiator,https://www.linkedin.com/jobs/view/federal-contract-negotiator-at-esri-3629789193?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=ur2M2QniMTiod0x%2BQ%2F1vEQ%3D%3D&position=21&pageNum=4&trk=public_jobs_jserp-result_search-card,2 weeks ago,Esri,https://www.linkedin.com/company/esri?trk=public_jobs_jserp-result_job-search-card-subtitle,"Vienna, VA"
Paralegal C (contract),https://www.linkedin.com/jobs/view/paralegal-c-contract-at-boeing-3610205934?refId=76fLNOB8jGaVgf477FzqVQ%3D%3D&trackingId=sWuAqTzKZOC8CJ3l5DRKnQ%3D%3D&position=22&pageNum=4&trk=public_jobs_jserp-result_search-card,1 month ago,Boeing,https://www.linkedin.com/company/boeing?trk=public_jobs_jserp-result_job-search-card-subtitle,"Seattle, WA"
